base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	lemma
dobálódzik	dobálódzok	dobálódzom	18	9	0.6418538861723947	zik	3	corpus	12200	8570080167	dobálódzik
dohányzik	dohányzok	dohányzom	1261	14148	-2.4169461860947936	zik	2	corpus	67978	8570080167	doháṉzik
dolgozik	dolgozok	dolgozom	24294	175459	-1.9771405288423716	zik	2	corpus	3627092	8570080167	dolgozik
driládzik	driládzok	driládzom	10	19	-0.5978370007556204	-zik	2	nonword	NA	NA	driládzik
drubódzik	drubódzok	drubódzom	10	16	-0.4353180712578455	-zik	2	nonword	NA	NA	drubódzik
drügzik	drügzök	drügzöm	14	13	0.06899287148695142	-zik	1	nonword	NA	NA	drügzik
dudorászik	dudorászok	dudorászom	54	62	-0.13580154115906176	szik	3	corpus	3096	8570080167	dudorásik
duhajkodik	duhajkodok	duhajkodom	4	5	-0.1823215567939546	NA	3	corpus	777	8570080167	duhajkodik
durcáskodik	durcáskodok	durcáskodom	2	23	-2.0794415416798357	NA	3	corpus	505	8570080167	durcáškodik
dévánkozik	dévánkozok	dévánkozom	1	2	-0.4054651081081645	zik	3	corpus	18	8570080167	dévánkozik
döglődik	döglődök	döglődöm	36	28	0.2436220826577505	NA	2	corpus	2107	8570080167	döglődik
dörgölődzik	dörgölődzök	dörgölődzöm	1	7	-1.3862943611198906	zik	3	corpus	2068	8570080167	dörgölődzik
dörgölőzik	dörgölőzök	dörgölőzöm	11	5	0.6931471805599453	zik	3	corpus	3938	8570080167	dörgölőzik
dühösködik	dühösködök	dühösködöm	7	13	-0.5596157879354228	NA	3	corpus	411	8570080167	dühöšködik
düjzik	düjzök	düjzöm	13	13	0	-zik	1	nonword	NA	NA	düjzik
edzik	edzok	edzom	21	5	1.2992829841302609	zik	1	corpus	183810	8570080167	edzik
edződik	edződök	edződöm	12	48	-1.3268709406490895	NA	2	corpus	7138	8570080167	edződik
egyenesedik	egyenesedek	egyenesedem	32	6	1.550597412411167	NA	4	corpus	3332	8570080167	eḏenešedik
egyezik	egyezek	egyezem	371	79	1.536867219599265	zik	2	corpus	230655	8570080167	eḏezik
egyszerűsödik	egyszerűsödök	egyszerűsödöm	5	10	-0.6061358035703156	NA	4	corpus	13942	8570080167	eḏserűšödik
ejtőzik	ejtőzök	ejtőzöm	52	25	0.7121953755306397	zik	2	corpus	3317	8570080167	ejtőzik
elandalodik	elandalodok	elandalodom	1	7	-1.3862943611198906	NA	4	corpus	522	8570080167	elandalodik
elbizonytalanodik	elbizonytalanodok	elbizonytalanodom	383	625	-0.4887078185123717	NA	6	corpus	29628	8570080167	elbizoṉtalanodik
elegyedik	elegyedek	elegyedem	366	100	1.2902413312133107	NA	3	corpus	21613	8570080167	eleḏedik
elhatárolódik	elhatárolódok	elhatárolódom	168	346	-0.7194260650237857	NA	5	corpus	19819	8570080167	elhatárolódik
elkényelmesedik	elkényelmesedek	elkényelmesedem	12	9	0.26236426446749106	NA	5	corpus	5281	8570080167	elkéṉelmešedik
elkérezkedik	elkérezkedek	elkérezkedem	3	1	0.6931471805599453	NA	4	corpus	90	8570080167	elkérezkedik
ellenkezik	ellenkezek	ellenkezem	238	168	0.3465648370084371	zik	3	corpus	35786	8570080167	ellenkezik
ellenségeskedik	ellenségeskedek	ellenségeskedem	11	6	0.5389965007326869	NA	5	corpus	839	8570080167	ellenšégeškedik
elmélkedik	elmélkedek	elmélkedem	637	1599	-0.9194206248830828	NA	3	corpus	48134	8570080167	elmélkedik
elmélázik	elmélázok	elmélázom	322	63	1.6187692398629847	zik	3	corpus	6646	8570080167	elmélázik
elégedetlenkedik	elégedetlenkedek	elégedetlenkedem	117	55	0.7453329337305156	NA	6	corpus	6274	8570080167	elégedetlenkedik
elégszik	elégszek	elégszem	43	777	-2.8725368902601307	szik	2	corpus	184225	8570080167	elégsik
emlékezik	emlékezek	emlékezem	981	20	3.8450688706310423	zik	3	corpus	1190771	8570080167	emlékezik
emlékszik	emlékszek	emlékszem	5189	355436	-4.226614321171158	szik	2	corpus	582900	8570080167	emléksik
engedelmeskedik	engedelmeskedek	engedelmeskedem	585	412	0.3498721966159798	NA	5	corpus	75413	8570080167	engedelmeškedik
engesztelődik	engesztelődök	engesztelődöm	1	6	-1.252762968495368	NA	4	corpus	982	8570080167	engestelődik
epekedik	epekedek	epekedem	82	79	0.0368139731227164	NA	3	corpus	5130	8570080167	epekedik
ereszkedik	ereszkedek	ereszkedem	402	429	-0.06484864674092511	NA	3	corpus	50960	8570080167	ereskedik
erőlködik	erőlködök	erőlködöm	417	852	-0.7132781149669228	NA	3	corpus	26473	8570080167	erőlködik
erősködik	erősködök	erősködöm	58	135	-0.8351174418303325	NA	3	corpus	8007	8570080167	erőšködik
erőszakoskodik	erőszakoskodok	erőszakoskodom	36	97	-0.9740495660263476	NA	5	corpus	6921	8570080167	erősakoškodik
erősödik	erősödök	erősödöm	155	293	-0.63372376008914455	NA	3	corpus	216852	8570080167	erőšödik
erőtlenedik	erőtlenedek	erőtlenedem	4	1	0.9162907318741552	NA	4	corpus	223	8570080167	erőtlenedik
esedezik	esedezek	esedezem	44	91	-0.7151260872787205	zik	3	corpus	9804	8570080167	ešedezik
esik	esek	esem	9463	13075	-0.3232833621858785	NA	1	corpus	1885634	8570080167	ešik
esküdözik	esküdözök	esküdözöm	6	7	-0.13353139262452263	zik	3	corpus	2908	8570080167	ešküdözik
esküszik	esküszök	esküszöm	145	16900	-4.751521449049892	szik	2	corpus	82803	8570080167	ešküsik
eszik	eszek	eszem	18097	20512	-0.1252573965710583	szik	1	corpus	1320372	8570080167	esik
faggatózik	faggatózok	faggatózom	23	60	-0.9328200338253656	zik	3	corpus	2014	8570080167	faggatózik
fagyoskodik	fagyoskodok	fagyoskodom	26	49	-0.616186139423817	NA	3	corpus	5038	8570080167	faḏoškodik
fajtalankodik	fajtalankodok	fajtalankodom	4	4	0	NA	4	corpus	1945	8570080167	fajtalankodik
falatozik	falatozok	falatozom	99	94	0.05129329438755048	zik	3	corpus	15786	8570080167	falatozik
fanyalodik	fanyalodok	fanyalodom	45	24	0.6097655716208943	NA	3	corpus	2114	8570080167	faṉalodik
fegyverkezik	fegyverkezek	fegyverkezem	7	3	0.6931471805599453	zik	3	corpus	3563	8570080167	feḏverkezik
